City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,Biak,-0.9131,122.8766,83.88,72,85,1.9,ID,2021-01-14 02:46:47
180,Villa Carlos Paz,-31.4241,-64.4978,75.99,85,85,4.97,AR,2021-01-14 02:46:47
181,Mandurah,-32.55,115.7,79.0,44,0,4.0,AU,2021-01-14 02:46:47
182,Dikson,73.5069,80.5464,-29.36,84,0,7.58,RU,2021-01-14 02:46:47
183,Galle,6.0367,80.217,78.37,79,98,7.2,LK,2021-01-14 02:43:59
184,Viedma,-40.8135,-62.9967,66.99,68,100,23.22,AR,2021-01-14 02:46:47
185,Padang,-0.9492,100.3543,85.46,56,68,2.35,ID,2021-01-14 02:42:59
186,Castro,-24.7911,-50.0119,64.09,93,78,9.19,BR,2021-01-14 02:46:47
187,Minot,48.2325,-101.2963,48.2,40,90,16.11,US,2021-01-14 02:46:48
188,Kruisfontein,-34.0033,24.7314,70.0,91,98,3.0,ZA,2021-01-14 02:46:48
189,Grootfontein,-19.5667,18.1167,66.29,89,100,4.94,NA,2021-01-14 02:46:48
190,Nyuksenitsa,60.4128,44.2397,-18.13,87,34,6.26,RU,2021-01-14 02:46:48
191,Sakakah,29.9697,40.2064,55.4,41,0,11.5,SA,2021-01-14 02:42:18
192,Agde,43.3108,3.4758,48.2,66,0,11.5,FR,2021-01-14 02:46:48
193,Ternate,0.8,127.4,84.88,67,100,3.56,ID,2021-01-14 02:46:48
194,Karlskoga,59.3267,14.5239,24.8,86,90,18.41,SE,2021-01-14 02:46:48
195,Northam,51.0333,-4.2167,50.0,100,100,7.0,GB,2021-01-14 02:42:20
196,Port Alfred,-33.5906,26.891,66.99,97,100,1.01,ZA,2021-01-14 02:46:48
197,Batken,39.8333,71.0,25.57,78,0,9.53,KG,2021-01-14 02:46:48
198,Mar Del Plata,-38.0023,-57.5575,64.99,63,0,10.36,AR,2021-01-14 02:44:10
199,Guerrero Negro,27.9769,-114.0611,60.37,55,0,10.87,MX,2021-01-14 02:44:13
