City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Acapulco,MX,2021-01-10 13:26:19,16.8634,-99.8901,73.4,83,40,4.61
231,Lorengau,PG,2021-01-10 13:26:19,-2.0226,147.2712,81.95,69,100,3.51
232,Praia Da Vitoria,PT,2021-01-10 13:26:19,38.7333,-27.0667,59.0,88,75,13.91
233,Lazaro Cardenas,MX,2021-01-10 13:26:19,17.9583,-102.2,70.34,75,0,5.14
234,Pareora,NZ,2021-01-10 13:26:19,-44.4871,171.2132,56.48,88,8,3.02
235,Pafos,CY,2021-01-10 13:26:19,34.7667,32.4167,69.8,56,0,4.61
236,Yeppoon,AU,2021-01-10 13:26:19,-23.1333,150.7333,77.0,65,75,12.66
237,Yar-Sale,RU,2021-01-10 13:26:19,66.8333,70.8333,-19.01,87,23,9.42
238,Raposa,BR,2021-01-10 13:26:19,-6.5167,-44.1833,78.44,85,60,7.72
239,Limbang,MY,2021-01-10 13:26:19,4.75,115.0,82.4,89,75,3.44
240,Raub,MY,2021-01-10 13:26:19,3.7899,101.857,73.47,89,100,2.06
241,Grindavik,IS,2021-01-10 13:26:19,63.8424,-22.4338,21.2,79,0,9.22
242,Dikson,RU,2021-01-10 13:26:19,73.5069,80.5464,12.22,97,100,15.05
243,Bathsheba,BB,2021-01-10 13:26:20,13.2167,-59.5167,82.4,69,40,24.16
244,Ingham,US,2021-01-10 13:26:20,42.6,-84.3833,21.0,100,90,2.26
245,Konstantinovka,RU,2021-01-10 13:26:20,49.6167,127.9833,-7.49,86,0,6.26
246,Dingle,PH,2021-01-10 13:26:20,10.9995,122.6711,74.01,92,100,12.71
247,Port Lincoln,AU,2021-01-10 13:26:03,-34.7333,135.8667,77.86,37,100,5.44
248,Broome,US,2021-01-10 13:26:20,42.2506,-75.833,25.0,86,90,12.66
249,Matata,NZ,2021-01-10 13:26:20,-37.8833,176.75,57.99,84,100,1.01
250,Isangel,VU,2021-01-10 13:26:20,-19.55,169.2667,77.0,100,90,2.15
251,Batticaloa,LK,2021-01-10 13:26:20,7.7102,81.6924,77.63,89,100,9.75
252,Airai,TL,2021-01-10 13:26:20,-8.9266,125.4092,64.35,100,100,1.25
253,Hambantota,LK,2021-01-10 13:26:20,6.1241,81.1185,77.0,100,90,2.3
254,Kandla,IN,2021-01-10 13:26:20,23.0333,70.2167,71.85,39,96,11.99
255,Khani,GE,2021-01-10 13:26:21,41.9563,42.9566,64.4,29,90,2.3
256,Kieta,PG,2021-01-10 13:26:21,-6.2167,155.6333,81.09,75,100,1.81
257,Havre-Saint-Pierre,CA,2021-01-10 13:26:21,50.2334,-63.5986,15.8,73,1,11.5
258,Gunjur,GM,2021-01-10 13:26:21,13.2019,-16.7339,82.4,39,0,11.5
259,Wenling,CN,2021-01-10 13:26:21,28.3669,121.36,37.02,75,96,8.16
260,Coihaique,CL,2021-01-10 13:26:21,-45.5752,-72.0662,41.0,81,75,4.61
261,Montbrison,FR,2021-01-10 13:26:21,45.6667,4.0833,30.99,69,90,8.05
262,Nizwa,OM,2021-01-10 13:26:21,22.9333,57.5333,70.2,19,0,3.31
263,Daru,PG,2021-01-10 13:26:21,-9.0763,143.2092,78.8,86,100,6.8
264,Kungurtug,RU,2021-01-10 13:26:21,50.5994,97.5228,-8.3,80,98,2.42
265,Dunedin,NZ,2021-01-10 13:22:46,-45.8742,170.5036,55.0,72,100,7.0
266,East London,ZA,2021-01-10 13:26:21,-33.0153,27.9116,69.8,88,75,13.8
267,Ntoum,GA,2021-01-10 13:26:21,0.3833,9.7833,86.0,74,20,8.05
268,Vila Velha,BR,2021-01-10 13:23:02,-20.3297,-40.2925,88.0,66,75,9.22
269,Nyurba,RU,2021-01-10 13:26:21,63.2842,118.3319,-26.75,85,96,4.47
270,Iskateley,RU,2021-01-10 13:26:21,67.6803,53.1512,-8.64,89,0,5.32
271,Malumfashi,NG,2021-01-10 13:26:21,11.7853,7.6218,90.37,12,0,14.94
272,Shubarkuduk,KZ,2021-01-10 13:26:21,49.1447,56.4872,24.3,95,100,9.55
273,Delijan,IR,2021-01-10 13:26:22,33.9905,50.6838,45.46,43,0,2.42
274,Savannah Bight,HN,2021-01-10 13:26:22,16.45,-85.85,75.0,100,90,17.67
275,Boguchany,RU,2021-01-10 13:26:22,58.3814,97.4531,-9.51,88,100,1.95
276,Eyl,SO,2021-01-10 13:26:22,7.9803,49.8164,77.74,56,0,27.83
277,Tocopilla,CL,2021-01-10 13:26:22,-22.092,-70.1979,71.71,59,54,7.76
278,Jabinyanah,TN,2021-01-10 13:26:22,35.035,10.9081,69.8,56,20,9.22
279,Ariquemes,BR,2021-01-10 13:26:22,-9.9133,-63.0408,77.14,90,100,2.1
280,Limulunga,ZM,2021-01-10 13:26:22,-15.0969,23.1376,81.88,64,95,5.59
281,Mankono,CI,2021-01-10 13:26:22,8.0586,-6.1897,103.91,24,0,1.05
282,Faanui,PF,2021-01-10 13:26:22,-16.4833,-151.75,80.53,71,100,11.65
283,Voh,NC,2021-01-10 13:26:22,-20.9667,164.7,78.35,85,100,5.59
284,Mantua,IT,2021-01-10 13:26:22,45.1667,10.7833,42.01,63,100,8.99
285,Sao Borja,BR,2021-01-10 13:26:22,-28.6606,-56.0044,85.32,62,0,4.83
286,Columbus,US,2021-01-10 13:25:00,39.9612,-82.9988,23.0,93,20,2.8
287,Bloomingdale,US,2021-01-10 13:26:22,27.8936,-82.2404,43.0,75,1,6.85
288,Souillac,MU,2021-01-10 13:26:22,-20.5167,57.5167,80.6,89,75,11.5
289,Camabatela,AO,2021-01-10 13:26:22,-8.1881,15.375,77.61,52,0,7.34
290,Bentiu,SS,2021-01-10 13:26:23,9.2333,29.8333,100.11,10,72,4.0
291,Norman Wells,CA,2021-01-10 13:26:23,65.282,-126.8329,10.4,79,75,14.97
292,Kavaratti,IN,2021-01-10 13:26:23,10.5669,72.642,82.96,72,100,5.91
293,Fortuna,US,2021-01-10 13:26:23,40.5982,-124.1573,48.99,100,90,4.41
294,San Patricio,US,2021-01-10 13:26:23,28.017,-97.5169,57.2,100,90,17.27
